station_uid,max_electric_power,max_voltage,power_type_id,plug_type_id,plug_format_id,type,format
c3d55b7c-9620-4ab7-b8cd-032e48c1aad0,62500,500,3,1,2,CHADEMO,CABLE
133cfa41-617d-498b-9255-9bc600c2766b,300000,600,3,21,2,COMBO,CABLE
897e1eb7-5a3f-47cd-82d0-fdeb7679effd,62500,500,3,21,2,COMBO,CABLE
745a727b-e75d-42d6-9493-ad985e8a0da1,300000,600,3,21,2,COMBO,CABLE
e0a56096-adb0-48e8-9a14-f5e561b0ac1f,300000,600,3,21,2,COMBO,CABLE
97134a42-e2cf-45aa-91e8-11da183563ff,300000,600,3,21,2,COMBO,CABLE
baddd4e2-2cdf-403f-a1fc-1230c157d101,300000,600,3,21,2,COMBO,CABLE
ed85d36f-3911-4a3b-9090-4a574888c153,300000,600,3,21,2,COMBO,CABLE
6e3aa643-b562-4c85-ad5c-dfc8a4355d20,300000,600,3,21,2,COMBO,CABLE
675042f8-8a66-452c-a818-9ad4711a8477,62500,500,3,21,2,COMBO,CABLE
addf1a35-1966-494a-8eea-8d9448eb8013,300000,600,3,21,2,COMBO,CABLE
86b85a96-968b-4aa8-8ce2-edd6b0a35b27,300000,600,3,21,2,COMBO,CABLE
9fed8601-489a-4c35-9b4d-e3b1c5400a7b,300000,600,3,21,2,COMBO,CABLE
691ed835-a247-469b-a008-1af1c67a7a98,62500,500,3,21,2,COMBO,CABLE
4a910ac1-738e-4675-bb67-d92b82e06fc8,300000,600,3,21,2,COMBO,CABLE
274fe9cb-02cf-4aa5-8f86-9eaddc6fb737,62500,500,3,1,2,CHADEMO,CABLE
1048f981-fcf8-4ccf-a067-13a7f2007b2c,300000,600,3,21,2,COMBO,CABLE
9bbcc8d2-b9e5-46e0-93a5-1934f3e2e0fd,62500,500,3,1,2,CHADEMO,CABLE
f46ef45e-73a0-4a53-ab63-9e27d5306d80,300000,600,3,21,2,COMBO,CABLE
84ae1297-e8dc-492a-ad24-f70acf24a5cf,62500,500,3,1,2,CHADEMO,CABLE
b3d49b37-b6b1-4068-95e8-09d8c4714d13,300000,600,3,21,2,COMBO,CABLE
2fd07fe0-74c2-4c4e-99a4-921b10a58a9a,62500,500,3,1,2,CHADEMO,CABLE
d03bb7a8-c6f3-4265-8dd5-549a7c7d3cc6,300000,600,3,21,2,COMBO,CABLE
a958f670-a859-47ee-97c2-620c012a310a,300000,600,3,21,2,COMBO,CABLE
3b5b8f52-7c04-49ae-adbc-cc7f74802838,300000,600,3,21,2,COMBO,CABLE
f2f754a0-0e5e-407d-8158-a270633da938,62500,500,3,1,2,CHADEMO,CABLE
fa62bda7-a303-4cd7-9d59-c26a2c8a9771,62500,500,3,1,2,CHADEMO,CABLE
0e5e578b-acef-4358-8a11-3bb5f90cb0ba,300000,600,3,21,2,COMBO,CABLE
a452d6f4-2061-4f9f-b178-959bb2c5b09a,300000,600,3,21,2,COMBO,CABLE
0d34af43-cc51-4fec-a31b-9c4ce0d94c5d,300000,600,3,21,2,COMBO,CABLE
59676210-e9cf-4083-a5c9-4169616f6b5f,62500,500,3,21,2,COMBO,CABLE
98341f34-6138-454c-bf17-73aab77b3f17,62500,500,3,21,2,COMBO,CABLE
cdce3a30-4cc0-44cb-bf52-4867cba42002,300000,600,3,21,2,COMBO,CABLE
1dd8e506-0caf-4cc9-96a4-34cb912094fa,300000,600,3,21,2,COMBO,CABLE
68c2b5c7-68a0-4ee5-bc2c-8b4ae90c879d,200000,400,3,21,2,COMBO,CABLE
3c82890d-65e2-4843-8de7-b9a83fd38371,62500,500,3,21,2,COMBO,CABLE
c217d81f-38cc-4cae-b847-298365c3423b,300000,600,3,21,2,COMBO,CABLE
